Pick,Player,Team_x,Pos,HT,WT,Age_x,Pre-Draft Team,Nationality,Player Link,League,GP,GS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER,label,Team_encoded,Position_encoded
999,,,,,195,23,,,,,95.89473684210526,17.11111111111111,0.5590263157894737,0.5259385964912281,7.951754385964915,16.141228070175444,12.138596491228073,13.768421052631581,16.52456140350877,2.0543859649122798,3.669026548672566,23.106140350877183,144.87719298245614,-3.0991228070175434,1.3464912280701753,109.61052631578943,97.07982456140348,19.43421052631579,-999,2,3
999,,,,,225,21,,,,,114.0,17.11111111111111,0.523,0.492,8.2,17.0,12.5,15.1,19.7,2.7,5.2,21.0,145.3,-3.6,1.2,101.5,96.9,17.8,-999,31,1
999,,,,,255,22,,,,,132.0,17.11111111111111,0.585,0.497,7.1,16.7,12.1,13.5,18.2,1.4,1.5,23.0,153.1,-3.8,1.6,111.5,98.4,18.3,-999,50,1
999,,,,,255,22,,,,,81.0,17.11111111111111,0.535,0.523,12.1,19.8,15.8,10.4,17.8,2.6,2.0,22.3,133.2,-4.7,1.3,103.6,104.3,19.7,-999,13,2
999,,,,,195,22,,,,,133.0,17.11111111111111,0.545,0.502,1.8,11.1,6.4,17.2,20.4,4.4,1.5,13.7,146.7,0.7,1.3,104.9,89.9,13.8,-999,57,3
999,,,,,215,22,,,,,133.0,17.11111111111111,0.507,0.472,2.2,7.8,5.2,10.2,15.4,1.8,0.3,22.1,147.1,-3.2,1.2,99.0,99.7,12.1,-999,84,3
999,,,,,215,23,,,,,99.0,17.11111111111111,0.5,0.472,6.8,13.7,10.2,15.3,15.4,1.7,2.1,22.5,146.3,-2.5,1.1,101.0,100.3,14.8,-999,70,1
999,,,,,245,23,,,,,137.0,17.11111111111111,0.533,0.499,8.0,14.7,11.4,13.2,13.3,2.4,1.8,23.0,154.6,-2.0,1.2,110.5,96.2,19.3,-999,29,7
999,,,,,210,23,,,,,65.0,17.11111111111111,0.565,0.505,6.6,13.5,10.1,22.5,18.6,5.2,1.6,32.2,154.3,-6.4,1.4,108.6,90.6,25.9,-999,77,7
999,,,,,205,22,,,,,126.0,17.11111111111111,0.541,0.522,6.7,10.9,8.8,21.8,20.9,3.4,2.7,20.3,132.7,-0.9,1.3,104.6,95.8,17.0,-999,74,1
999,,,,,172,23,,,,,132.0,17.11111111111111,0.602,0.55,1.6,7.3,4.6,25.9,19.5,1.4,3.669026548672566,24.7,174.0,-0.5,1.4,112.9,107.8,17.8,-999,7,3
999,,,,,209,22,,,,,138.0,17.11111111111111,0.573,0.506,1.7,8.7,5.2,22.9,16.8,2.8,0.4,26.2,160.2,-1.6,1.4,113.7,100.7,19.4,-999,88,3
