WT,Age_x,GP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER,Team_encoded,Position_encoded,PREDICTION,Player,RowIndex
240,22,63.0,0.513,0.495,12.2,19.3,15.9,3.7,16.8,1.4,9.5,20.4,124.3,-5.8,1.2,99.7,85.3,16.8,45,0,-885.3546446048935,C.J. Giles,79
220,23,129.0,0.505,0.471,6.1,15.3,10.8,14.7,15.5,1.9,2.4,25.8,137.8,-3.4,1.2,101.0,100.6,16.1,29,2,-890.4246770351305,Gary Forbes,80
200,22,124.0,0.543,0.527,6.3,14.1,10.4,13.4,17.2,2.5,1.1,22.2,142.5,-3.2,1.3,106.0,93.1,16.4,11,5,-891.1355150139356,DeMarcus Nelson,81
210,22,63.0,0.51,0.478,12.2,16.8,14.5,18.9,17.5,2.6,1.4,25.3,125.0,-3.2,1.3,104.4,102.2,19.9,47,6,-892.461298736978,Othyus Jeffers,82
209,23,83.0,0.547,0.515,7.6,14.4,10.9,6.2,11.0,1.5,4.8,17.7,153.5,-1.9,1.2,116.2,100.0,16.0,18,9,-898.2134688553812,Dion Dowell,83
180,23,138.0,0.562,0.523,1.1,7.1,4.3,27.8,15.3,1.5,0.4,20.8,167.6,3.7,1.3,117.9,102.7,15.9,31,5,-899.8069617185936,Drew Neitzel,84
190,23,122.0,0.498,0.457,1.7,6.7,4.0,29.3,21.2,2.4,0.3,22.3,141.3,-0.1,1.2,98.1,102.0,12.6,18,5,-907.2481097049837,Lanny Smith,85
215,22,104.0,0.584,0.569,2.5,8.2,5.5,9.3,10.2,1.1,0.3,20.6,160.9,-1.2,1.2,119.0,102.4,15.8,43,6,-907.7244114240586,Moses Ehambe,86
210,23,122.0,0.549,0.54,4.1,18.0,11.3,13.7,13.3,2.0,3.0,24.4,141.6,-2.0,1.2,107.4,94.6,19.0,36,6,-920.1954553210446,J.R. Giddens,87
207,22,127.0,0.543,0.518,5.5,9.4,7.5,12.6,13.0,1.1,0.9,24.4,148.9,-2.3,1.2,110.0,103.2,16.2,25,5,-933.8696367538785,Joe Crawford,88
210,22,120.0,0.525,0.476,5.2,15.1,10.0,19.1,15.6,3.0,1.2,24.2,144.2,-1.4,1.3,106.9,101.8,18.8,51,10,-942.0048672364559,Mark Tyndale,89
225,23,122.0,0.522,0.485,5.2,13.0,9.0,10.6,17.0,1.9,1.5,21.1,143.0,-3.8,1.2,100.4,101.6,13.3,33,10,-974.6934570380528,Marshall Brown,90
